"Name","FileCount"
"Comunicaci?n Audiovisual","0"
"Ciencias Pol?ticas y de la Administraci?n","0"
"Ciencias de la Actividad F?sica y del Deporte","0"
"Conservaci?n y Restauraci?n de Bienes Culturales","0"
"Econom?a","0"
"Derecho","0"
"Criminolog?a","0"
"Bellas Artes","0"
"Antrolog?a Social y Cultural","0"
"Administraci?n y Direcci?n de Empresas","0"
"Biolog?a","0"
"Ciencias Ambientales","0"
"Ciencia y Tecnolog?a de los Alimentos","0"
"Biotecnolog?a","0"
"Edificaci?n","0"
"Farmacia","0"
"Estudios Franceses","0"
"Estudios Ingleses","0"
"Filolog?a Cl?sica","0"
"Finanzas y Contabilidad","0"
"Filosof?a","0"
"Filolog?a Hisp?nica","0"
"Educaci?n Social","0"
"Educaci?n Primaria","0"
"Educaci?n Infantil","0"
"Enfermer?a","0"
"Estudios de Arquitectura","0"
"Estudios ?rabes e Isl?micos","0"
"Estad?stica","0"
"Lenguas Modernas y sus Literaturas","0"
"Ingenier?a Qu?mica","0"
"Ingenier?a Inform?tica","0"
"Literaturas Comparadas","0"
"Matem?ticas","0"
"Marketing e Investigaci?n de Mercados","0"
"Logopedia","0"
"Ingenier?a Electr?nica Industrial","0"
"Historia del Arte","0"
"Historia","0"
"Arqueolog?a","0"
"Historia y Ciencias de la M?sica","0"
"Ingenier?a de Tecnolog?as de Telecomunicaci?n","0"
"Ingenier?a Civil","0"
"Informaci?n y Documentaci?n","0"
"Sociolog?a","0"
"Bioqu?mica","0"
"Relaciones Laborales y Recursos Humanos","0"
"Terapia Ocupacional","0"
"Turismo","0"
"Traducci?n e Interpretaci?n","0"
"Trabajo Social","0"
"Odontolog?a","0"
"Nutrici?n Humana y Diet?tica","0"
"Medicina","0"
"?ptica y optometr?a","0"
"Psicolog?a","0"
"Qu?mica","0"
"Pedagog?a","0"
"Fisioterapia","39"
"Informacion y Documentacion","41"
"Geograf?a y Gesti?n de Territorio","48"
"F?sica","49"
"Geolog?a","51"
